,upward,leftward,rightward,avoid,push
0,-0.0418999999999989,-0.0418999999999989,-0.0418999999999989,-0.0418999999999989,-0.0418999999999989
1,-0.042599999999998805,-0.042599999999998805,-0.042599999999998805,-0.042599999999998805,-0.042599999999998805
2,-0.015299999999999042,-0.015299999999999042,-0.015299999999999042,-0.015299999999999042,-0.015299999999999042
3,-0.04329999999999874,-0.04329999999999874,-0.04329999999999874,-0.04329999999999874,-0.04329999999999874
4,-0.01670000000000079,-0.01670000000000079,-0.01670000000000079,-0.01670000000000079,-0.01670000000000079
5,-0.04329999999999872,-0.04329999999999872,-0.04329999999999872,-0.04329999999999872,-0.04329999999999872
6,-0.04259999999999882,-0.04259999999999882,-0.04259999999999882,-0.04259999999999882,-0.04259999999999882
7,-0.0432999999999987,-0.0432999999999987,-0.0432999999999987,-0.0432999999999987,-0.0432999999999987
8,-0.042599999999998785,-0.042599999999998785,-0.042599999999998785,-0.042599999999998785,-0.042599999999998785
9,-0.042599999999998826,-0.042599999999998826,-0.042599999999998826,-0.042599999999998826,-0.042599999999998826
10,-0.04329999999999872,-0.04329999999999872,-0.04329999999999872,-0.04329999999999872,-0.04329999999999872
11,-0.042599999999998854,-0.042599999999998854,-0.042599999999998854,-0.042599999999998854,-0.042599999999998854
12,-0.04259999999999882,-0.04259999999999882,-0.04259999999999882,-0.04259999999999882,-0.04259999999999882
13,-0.04259999999999881,-0.04259999999999881,-0.04259999999999881,-0.04259999999999881,-0.04259999999999881
14,-0.03909999999999919,-0.03909999999999919,-0.03909999999999919,-0.03909999999999919,-0.03909999999999919
15,-0.04329999999999874,-0.04329999999999874,-0.04329999999999874,-0.04329999999999874,-0.04329999999999874
16,-0.043299999999998715,-0.043299999999998715,-0.043299999999998715,-0.043299999999998715,-0.043299999999998715
17,-0.04189999999999891,-0.04189999999999891,-0.04189999999999891,-0.04189999999999891,-0.04189999999999891
18,-0.043299999999998694,-0.043299999999998694,-0.043299999999998694,-0.043299999999998694,-0.043299999999998694
19,-0.04329999999999876,-0.04329999999999876,-0.04329999999999876,-0.04329999999999876,-0.04329999999999876
20,-0.04329999999999875,-0.04329999999999875,-0.04329999999999875,-0.04329999999999875,-0.04329999999999875
21,-0.04259999999999878,-0.04259999999999878,-0.04259999999999878,-0.04259999999999878,-0.04259999999999878
22,-0.043299999999998715,-0.043299999999998715,-0.043299999999998715,-0.043299999999998715,-0.043299999999998715
23,-0.043299999999998735,-0.043299999999998735,-0.043299999999998735,-0.043299999999998735,-0.043299999999998735
24,-0.04259999999999883,-0.04259999999999883,-0.04259999999999883,-0.04259999999999883,-0.04259999999999883
25,-0.043299999999998735,-0.043299999999998735,-0.043299999999998735,-0.043299999999998735,-0.043299999999998735
26,-0.042599999999998826,-0.042599999999998826,-0.042599999999998826,-0.042599999999998826,-0.042599999999998826
27,-0.042599999999998854,-0.042599999999998854,-0.042599999999998854,-0.042599999999998854,-0.042599999999998854
28,-0.04259999999999884,-0.04259999999999884,-0.04259999999999884,-0.04259999999999884,-0.04259999999999884
29,-0.042599999999998826,-0.042599999999998826,-0.042599999999998826,-0.042599999999998826,-0.042599999999998826
30,-0.04259999999999881,-0.04259999999999881,-0.04259999999999881,-0.04259999999999881,-0.04259999999999881
31,-0.04259999999999875,-0.04259999999999875,-0.04259999999999875,-0.04259999999999875,-0.04259999999999875
32,-0.043299999999998735,-0.043299999999998735,-0.043299999999998735,-0.043299999999998735,-0.043299999999998735
33,-0.04259999999999882,-0.04259999999999882,-0.04259999999999882,-0.04259999999999882,-0.04259999999999882
34,-0.043299999999998694,-0.043299999999998694,-0.043299999999998694,-0.043299999999998694,-0.043299999999998694
35,-0.042599999999998736,-0.042599999999998736,-0.042599999999998736,-0.042599999999998736,-0.042599999999998736
36,-0.04189999999999895,-0.04189999999999895,-0.04189999999999895,-0.04189999999999895,-0.04189999999999895
37,-0.0167000000000008,-0.0167000000000008,-0.0167000000000008,-0.0167000000000008,-0.0167000000000008
38,-0.04049999999999912,-0.04049999999999912,-0.04049999999999912,-0.04049999999999912,-0.04049999999999912
39,0.3239825092499186,0.3239825092499186,0.3239825092499186,0.3239825092499186,0.3239825092499186
