,upward,leftward,rightward,avoid,push
0,-2.28494271685759,-2.28494271685759,-2.28494271685759,-2.28494271685759,-2.28494271685759
1,-1.948101265822759,-1.948101265822759,-1.948101265822759,-1.948101265822759,-1.948101265822759
2,-2.0782511210762156,-2.0782511210762156,-2.0782511210762156,-2.0782511210762156,-2.0782511210762156
3,-2.3010708401976725,-2.3010708401976725,-2.3010708401976725,-2.3010708401976725,-2.3010708401976725
4,-2.123972602739706,-2.123972602739706,-2.123972602739706,-2.123972602739706,-2.123972602739706
5,-2.2815724815724625,-2.2815724815724625,-2.2815724815724625,-2.2815724815724625,-2.2815724815724625
6,-2.272675367047289,-2.272675367047289,-2.272675367047289,-2.272675367047289,-2.272675367047289
7,-2.1696969696969512,-2.1696969696969512,-2.1696969696969512,-2.1696969696969512,-2.1696969696969512
8,-2.2482229402261518,-2.2482229402261518,-2.2482229402261518,-2.2482229402261518,-2.2482229402261518
9,-2.320995850622386,-2.320995850622386,-2.320995850622386,-2.320995850622386,-2.320995850622386
10,-2.256796116504835,-2.256796116504835,-2.256796116504835,-2.256796116504835,-2.256796116504835
11,-2.2516155088852803,-2.2516155088852803,-2.2516155088852803,-2.2516155088852803,-2.2516155088852803
12,-2.3400503778337334,-2.3400503778337334,-2.3400503778337334,-2.3400503778337334,-2.3400503778337334
13,-2.2976916735366646,-2.2976916735366646,-2.2976916735366646,-2.2976916735366646,-2.2976916735366646
14,-2.4679328621907923,-2.4679328621907923,-2.4679328621907923,-2.4679328621907923,-2.4679328621907923
15,-2.4586842105262954,-2.4586842105262954,-2.4586842105262954,-2.4586842105262954,-2.4586842105262954
16,-2.3985445205479228,-2.3985445205479228,-2.3985445205479228,-2.3985445205479228,-2.3985445205479228
17,-0.5826152683295611,-0.5826152683295611,-0.5826152683295611,-0.5826152683295611,-0.5826152683295611
18,-2.348741610738235,-2.348741610738235,-2.348741610738235,-2.348741610738235,-2.348741610738235
19,-2.3027160493826977,-2.3027160493826977,-2.3027160493826977,-2.3027160493826977,-2.3027160493826977
20,-0.5503971119133321,-0.5503971119133321,-0.5503971119133321,-0.5503971119133321,-0.5503971119133321
21,-2.35113732097723,-2.35113732097723,-2.35113732097723,-2.35113732097723,-2.35113732097723
22,-2.210722795869719,-2.210722795869719,-2.210722795869719,-2.210722795869719,-2.210722795869719
23,-2.006150506512283,-2.006150506512283,-2.006150506512283,-2.006150506512283,-2.006150506512283
24,-2.493866666666648,-2.493866666666648,-2.493866666666648,-2.493866666666648,-2.493866666666648
25,-2.1471814671814458,-2.1471814671814458,-2.1471814671814458,-2.1471814671814458,-2.1471814671814458
26,-0.571914264597163,-0.571914264597163,-0.571914264597163,-0.571914264597163,-0.571914264597163
27,-0.5607483492296467,-0.5607483492296467,-0.5607483492296467,-0.5607483492296467,-0.5607483492296467
28,-2.2761632653061046,-2.2761632653061046,-2.2761632653061046,-2.2761632653061046,-2.2761632653061046
29,-2.2690243902438834,-2.2690243902438834,-2.2690243902438834,-2.2690243902438834,-2.2690243902438834
30,-2.296039603960377,-2.296039603960377,-2.296039603960377,-2.296039603960377,-2.296039603960377
31,-2.021834061135355,-2.021834061135355,-2.021834061135355,-2.021834061135355,-2.021834061135355
32,-2.2726753670472886,-2.2726753670472886,-2.2726753670472886,-2.2726753670472886,-2.2726753670472886
33,-2.2309599999999787,-2.2309599999999787,-2.2309599999999787,-2.2309599999999787,-2.2309599999999787
34,-2.4143965517241157,-2.4143965517241157,-2.4143965517241157,-2.4143965517241157,-2.4143965517241157
35,-2.277877551020389,-2.277877551020389,-2.277877551020389,-2.277877551020389,-2.277877551020389
36,-2.177734374999981,-2.177734374999981,-2.177734374999981,-2.177734374999981,-2.177734374999981
37,-2.3866382978723197,-2.3866382978723197,-2.3866382978723197,-2.3866382978723197,-2.3866382978723197
38,-2.326433915211947,-2.326433915211947,-2.326433915211947,-2.326433915211947,-2.326433915211947
39,-2.2743882544861123,-2.2743882544861123,-2.2743882544861123,-2.2743882544861123,-2.2743882544861123
