,upward,leftward,rightward,avoid,push
0,1.0429310344827518,1.0429310344827518,1.0429310344827518,1.0429310344827518,1.0429310344827518
1,-8.0697802197802,-8.0697802197802,-8.0697802197802,-8.0697802197802,-8.0697802197802
2,-8.508695652173893,-8.508695652173893,-8.508695652173893,-8.508695652173893,-8.508695652173893
3,-11.218250950570322,-11.218250950570322,-11.218250950570322,-11.218250950570322,-11.218250950570322
4,-11.01865671641789,-11.01865671641789,-11.01865671641789,-11.01865671641789,-11.01865671641789
5,-10.922222222222201,-10.922222222222201,-10.922222222222201,-10.922222222222201,-10.922222222222201
6,-10.461702127659557,-10.461702127659557,-10.461702127659557,-10.461702127659557,-10.461702127659557
7,-10.223958333333314,-10.223958333333314,-10.223958333333314,-10.223958333333314,-10.223958333333314
8,-1.1446194225721926,-1.1446194225721926,-1.1446194225721926,-1.1446194225721926,-1.1446194225721926
9,-10.08527397260272,-10.08527397260272,-10.08527397260272,-10.08527397260272,-10.08527397260272
10,-6.434437086092696,-6.434437086092696,-6.434437086092696,-6.434437086092696,-6.434437086092696
11,1.938684834123276,1.938684834123276,1.938684834123276,1.938684834123276,1.938684834123276
12,1.923149236192769,1.923149236192769,1.923149236192769,1.923149236192769,1.923149236192769
13,1.9483928571429108,1.9483928571429108,1.9483928571429108,1.9483928571429108,1.9483928571429108
14,1.805589374654175,1.805589374654175,1.805589374654175,1.805589374654175,1.805589374654175
15,1.8914930555556093,1.8914930555556093,1.8914930555556093,1.8914930555556093,1.8914930555556093
16,1.7970782800441534,1.7970782800441534,1.7970782800441534,1.7970782800441534,1.7970782800441534
17,1.7856438356164932,1.7856438356164932,1.7856438356164932,1.7856438356164932,1.7856438356164932
18,1.6813760993275253,1.6813760993275253,1.6813760993275253,1.6813760993275253,1.6813760993275253
19,0.7467671060891533,0.7467671060891533,0.7467671060891533,0.7467671060891533,0.7467671060891533
20,0.7221739130434732,0.7221739130434732,0.7221739130434732,0.7221739130434732,0.7221739130434732
21,1.8118333333333858,1.8118333333333858,1.8118333333333858,1.8118333333333858,1.8118333333333858
22,1.7621753246753784,1.7621753246753784,1.7621753246753784,1.7621753246753784,1.7621753246753784
23,1.6566615620214926,1.6566615620214926,1.6566615620214926,1.6566615620214926,1.6566615620214926
24,-0.05869999999999763,-0.05869999999999763,-0.05869999999999763,-0.05869999999999763,-0.05869999999999763
25,1.9195422535211786,1.9195422535211786,1.9195422535211786,1.9195422535211786,1.9195422535211786
26,-6.14493670886074,-6.14493670886074,-6.14493670886074,-6.14493670886074,-6.14493670886074
27,-6.832867132867117,-6.832867132867117,-6.832867132867117,-6.832867132867117,-6.832867132867117
28,-7.463010204081613,-7.463010204081613,-7.463010204081613,-7.463010204081613,-7.463010204081613
29,-7.961788617886159,-7.961788617886159,-7.961788617886159,-7.961788617886159,-7.961788617886159
30,-7.726649076517131,-7.726649076517131,-7.726649076517131,-7.726649076517131,-7.726649076517131
31,-7.944715447154452,-7.944715447154452,-7.944715447154452,-7.944715447154452,-7.944715447154452
32,-7.960326086956504,-7.960326086956504,-7.960326086956504,-7.960326086956504,-7.960326086956504
33,-8.16908077994427,-8.16908077994427,-8.16908077994427,-8.16908077994427,-8.16908077994427
34,-9.779734219269084,-9.779734219269084,-9.779734219269084,-9.779734219269084,-9.779734219269084
35,-8.254775280898857,-8.254775280898857,-8.254775280898857,-8.254775280898857,-8.254775280898857
36,-8.75892857142855,-8.75892857142855,-8.75892857142855,-8.75892857142855,-8.75892857142855
37,-6.1498947368420955,-6.1498947368420955,-6.1498947368420955,-6.1498947368420955,-6.1498947368420955
38,-9.43846153846152,-9.43846153846152,-9.43846153846152,-9.43846153846152,-9.43846153846152
39,-9.235849056603755,-9.235849056603755,-9.235849056603755,-9.235849056603755,-9.235849056603755
